user_input,emotion_label,trust_delta,escalation_label
"I understand, let me look into that",calm,1,0
"Sure, I can work on that",calm,1,0
"No problem, I will get it done",calm,1,0
"Of course, happy to help",calm,1,0
I appreciate your patience,calm,1,0
That makes sense to me,calm,1,0
I will take care of it right away,calm,1,0
"Understood, I will prioritize this",calm,1,0
"Alright, let me handle that",calm,1,0
I am happy to assist with this,calm,1,0
That sounds reasonable,calm,1,0
I can definitely manage that,calm,1,0
Let me get back to you shortly,calm,1,0
I will make sure that is done,calm,1,0
Thank you for clarifying,calm,1,0
I will do my best on this,calm,1,0
"Okay, I can work with that",calm,1,0
"Certainly, I will handle it",calm,1,0
I agree with your approach,calm,1,0
Let me review and follow up,calm,1,0
I am on it right away,calm,1,0
I will keep you updated,calm,1,0
That works for me,calm,1,0
I will take note of that,calm,1,0
I can manage the timeline,calm,1,0
I will coordinate with the team,calm,1,0
"Sounds good, I will proceed",calm,1,0
I will make sure it is correct,calm,1,0
Happy to adjust my approach,calm,1,0
I will ensure it is delivered on time,calm,1,0
I appreciate the feedback,calm,1,0
That is a fair point,calm,1,0
I will incorporate your suggestions,calm,1,0
"Sure, let me reschedule",calm,1,0
I can adapt to that change,calm,1,0
I will confirm once it is ready,calm,1,0
I will double check my work,calm,1,0
"Good point, I will revise",calm,1,0
Let me clarify with you first,calm,1,0
I will circle back by end of day,calm,1,0
I understand the urgency,calm,1,0
I will prioritize accordingly,calm,1,0
That is fine with me,calm,1,0
I can handle that responsibility,calm,1,0
I will reach out if I need help,calm,1,0
I propose we handle this differently,assertive,2,0
I suggest we set a realistic deadline,assertive,2,0
I can deliver this by end of week with the right data,assertive,2,0
I need the complete data to produce an accurate report,assertive,2,0
I will require additional time to ensure quality,assertive,2,0
I propose a structured plan to address this,assertive,2,0
I can solve this if given the right resources,assertive,2,0
Let me suggest an alternative approach,assertive,2,0
I believe we need to revisit the requirements,assertive,2,0
I will need the missing information before proceeding,assertive,2,0
I can take ownership of this task,assertive,2,0
Let me propose a solution that works for both of us,assertive,2,0
I suggest we discuss priorities first,assertive,2,0
I can commit to this with clear expectations,assertive,2,0
I will deliver quality work given the right conditions,assertive,2,0
I recommend we align on the scope first,assertive,2,0
I plan to resolve this systematically,assertive,2,0
I can handle this with appropriate support,assertive,2,0
I propose we break this into manageable steps,assertive,2,0
I will need your sign-off before I proceed,assertive,2,0
I can complete this if we clarify the requirements,assertive,2,0
Let me outline what I can realistically deliver,assertive,2,0
I suggest we escalate this to get more resources,assertive,2,0
I need to raise a concern about the timeline,assertive,2,0
I can find a solution if we work together on this,assertive,2,0
I propose we revisit the deadline given the complexity,assertive,2,0
I will take the lead on resolving this,assertive,2,0
I need to flag a risk before we proceed,assertive,2,0
I can produce this but need the data by tomorrow,assertive,2,0
I suggest we document the agreement clearly,assertive,2,0
I will commit once we agree on the scope,assertive,2,0
I propose we involve the relevant stakeholders,assertive,2,0
I can deliver this but need support from the team,assertive,2,0
Let me suggest a more efficient process,assertive,2,0
I need to ensure the requirements are complete first,assertive,2,0
I propose we address the root cause rather than the symptom,assertive,2,0
I can handle this independently with clear guidelines,assertive,2,0
I suggest we review the timeline together,assertive,2,0
I will deliver this as long as the data is provided,assertive,2,0
I recommend we set clearer expectations upfront,assertive,2,0
I can take this forward with the right brief,assertive,2,0
I propose a quality check before final submission,assertive,2,0
I will complete this with a structured approach,assertive,2,0
I need to confirm the acceptance criteria first,assertive,2,0
I suggest we schedule a quick alignment call,assertive,2,0
I am worried I cannot complete this in time,anxious,-1,1
I am not sure I can handle this,anxious,-1,1
What if I make a mistake on this,anxious,-1,1
I am scared of getting this wrong,anxious,-1,1
I am nervous about presenting this,anxious,-1,1
I do not know if I am the right person for this,anxious,-1,1
What if it is not good enough,anxious,-1,1
I am afraid I will mess this up,anxious,-1,1
I am not sure what you expect from me,anxious,-1,1
I am overwhelmed with all the tasks,anxious,-1,1
What if I miss something important,anxious,-1,1
I cannot do this alone,anxious,-1,1
I feel like I am going to fail this,anxious,-1,1
I am unsure if my approach is correct,anxious,-1,1
I do not want to disappoint you,anxious,-1,1
What if the data is wrong,anxious,-1,1
I am not confident I understand the requirements,anxious,-1,1
I am afraid this will not be ready in time,anxious,-1,1
I am struggling to keep up with the pace,anxious,-1,1
What if my work is not up to standard,anxious,-1,1
I am worried about the consequences,anxious,-1,1
I do not feel qualified for this,anxious,-1,1
I am unsure how to start,anxious,-1,1
What if I am doing this the wrong way,anxious,-1,1
I am afraid to ask for help again,anxious,-1,1
I feel like I am falling behind,anxious,-1,1
I do not think I can meet this expectation,anxious,-1,1
I am nervous about the review,anxious,-1,1
What if the manager rejects my work,anxious,-1,1
I am not confident in my ability to deliver,anxious,-1,1
I feel lost and unsure about next steps,anxious,-1,1
I am worried this will reflect badly on me,anxious,-1,1
I do not know how to handle this pressure,anxious,-1,1
What if I get blamed for the delay,anxious,-1,1
I am not sure I have enough experience for this,anxious,-1,1
I am afraid of making the wrong decision,anxious,-1,1
I do not feel ready for this responsibility,anxious,-1,1
I am worried about what happens if I fail,anxious,-1,1
I feel uncertain about the direction,anxious,-1,1
What if my manager loses confidence in me,anxious,-1,1
I am scared this will damage my reputation,anxious,-1,1
I am not sure I can balance all these tasks,anxious,-1,1
I feel anxious about the deadline approaching,anxious,-1,1
I am worried I might be missing the point,anxious,-1,1
I cannot stop thinking about what could go wrong,anxious,-1,1
This is completely unfair,frustrated,-2,2
I hate how this team operates,frustrated,-2,2
This is absolutely ridiculous,frustrated,-2,2
I am sick of being treated this way,frustrated,-2,2
This is always happening to me,frustrated,-2,2
I can never get the right information,frustrated,-2,2
It is not fair to dump this on me,frustrated,-2,2
I am fed up with these impossible deadlines,frustrated,-2,2
Nobody ever listens to my concerns,frustrated,-2,2
This situation is completely unacceptable,frustrated,-2,2
I am angry about how this was handled,frustrated,-2,2
This is the same problem every single time,frustrated,-2,2
I cannot believe you are asking me to do this,frustrated,-2,2
This is making me furious,frustrated,-2,2
I have never been given the proper support,frustrated,-2,2
This is a complete waste of my time,frustrated,-2,2
I am done with always being the last to know,frustrated,-2,2
This is beyond unreasonable,frustrated,-2,2
I resent being put in this position,frustrated,-2,2
This team never takes responsibility,frustrated,-2,2
I am furious about being given incomplete data,frustrated,-2,2
This is always my fault according to management,frustrated,-2,2
I am so done with these unfair expectations,frustrated,-2,2
Nobody cares about the quality of the work anymore,frustrated,-2,2
I cannot stand how disorganized this process is,frustrated,-2,2
This is a joke and I am not laughing,frustrated,-2,2
I have had enough of being blamed for everything,frustrated,-2,2
This is the most unfair thing I have ever dealt with,frustrated,-2,2
I am absolutely exhausted by these constant demands,frustrated,-2,2
Nothing ever changes no matter what I do,frustrated,-2,2
I am sick and tired of this micromanagement,frustrated,-2,2
This is insulting to my professional ability,frustrated,-2,2
I cannot believe this is how things are run here,frustrated,-2,2
I am furious that my concerns are being ignored,frustrated,-2,2
This is not what I signed up for,frustrated,-2,2
I am completely fed up with the lack of support,frustrated,-2,2
This has gone too far and I will not accept it,frustrated,-2,2
I am enraged by the way this was communicated,frustrated,-2,2
This organization never values employee input,frustrated,-2,2
I refuse to be treated this way any longer,frustrated,-2,2
I am so angry I can barely think straight,frustrated,-2,2
This is the third time this has happened this week,frustrated,-2,2
I am livid about how this process works,frustrated,-2,2
I feel completely disrespected by this request,frustrated,-2,2
This is a disaster and management does not care,frustrated,-2,2
I am not sure what you mean by that,confused,0,1
Could you clarify what you need from me,confused,0,1
I do not understand the requirements,confused,0,1
What exactly are you expecting me to deliver,confused,0,1
I am unsure which part I should focus on,confused,0,1
Can you explain what the priority is,confused,0,1
I am confused about the process here,confused,0,1
What does that mean in practice,confused,0,1
I am not following your logic on this,confused,0,1
Which version of the data should I use,confused,0,1
I do not understand what went wrong,confused,0,1
Can you walk me through the steps again,confused,0,1
I am unclear on the timeline you expect,confused,0,1
What format should the report be in,confused,0,1
I am confused about who is responsible for this,confused,0,1
Could you provide more context please,confused,0,1
I do not know what the acceptance criteria are,confused,0,1
What is the actual goal here,confused,0,1
I am not sure I heard that correctly,confused,0,1
Can you send that in writing so I can review,confused,0,1
I do not understand the feedback you gave me,confused,0,1
Which stakeholder should I align with,confused,0,1
