user_input,emotion_label,trust_delta,escalation_label
"I understand the deadline and I will do my best to meet it.",calm,2,0
"Thank you for explaining that, it makes a lot of sense now.",calm,2,0
"Of course, I appreciate you letting me know.",calm,2,0
"That sounds reasonable, I'm happy to adjust.",calm,2,0
"No problem, I'll get that sorted right away.",calm,2,0
"I see your point and I'll keep that in mind going forward.",calm,2,0
"Certainly, let me take care of that for you.",calm,2,0
"I agree, that approach makes sense for the team.",calm,2,0
"Sure, I can have that ready by end of day.",calm,2,0
"That's fair, I'll revise the document accordingly.",calm,2,0
"I respect your decision and I'll act on it immediately.",calm,2,0
"Happy to help, just let me know what you need.",calm,2,0
"Understood, I'll follow up on that right away.",calm,2,0
"Makes sense, I'll coordinate with the team.",calm,2,0
"I appreciate the feedback, I'll work on improving that.",calm,2,0
"Let's work together to find the best solution here.",calm,2,0
"Sounds good, I'll keep you posted on my progress.",calm,2,0
"I hear you, and I'll make the necessary adjustments.",calm,2,0
"That's a good point, I hadn't considered it that way.",calm,2,0
"I'm happy to take on that responsibility.",calm,2,0
"Absolutely, I'll prioritize that task.",calm,2,0
"I understand, I'll make sure it doesn't happen again.",calm,2,0
"Of course, your guidance is very helpful.",calm,2,0
"That's fine, I'll align with what the team needs.",calm,2,0
"I appreciate the clarity, I know what to do now.",calm,2,0
"Sure, let me know if there's anything else I can assist with.",calm,2,0
"That's perfectly fine, I'll adapt my approach.",calm,2,0
"I'll make note of that and incorporate it into my work.",calm,2,0
"Thank you for the opportunity, I won't let you down.",calm,2,0
"I'm fully committed to making this work.",calm,2,0
"I agree with your assessment and will act accordingly.",calm,2,0
"I'll reach out to the relevant stakeholders to confirm.",calm,2,0
"That all makes sense, I'll proceed as discussed.",calm,2,0
"I'm on board with that plan.",calm,2,0
"Noted, I'll keep that in mind throughout the project.",calm,2,0
"I'll make sure the report is ready before the meeting.",calm,2,0
"Of course, feedback is important and I welcome it.",calm,2,0
"I take full responsibility for that oversight.",calm,2,0
"I'll double-check my work before submitting.",calm,2,0
"Thank you, I'll use your suggestions to improve.",calm,2,0
"I need to inform you that the data I received was incomplete.",assertive,2,0
"I want to clarify my position before we proceed.",assertive,2,0
"Let me be clear: I was not given all the information needed.",assertive,2,0
"I require more time because the requirements changed last minute.",assertive,2,0
"I expect to be given the correct data before I can finalize the report.",assertive,2,0
"My position is that this timeline is unrealistic given the constraints.",assertive,2,0
"I insist we discuss the resources available before committing.",assertive,2,0
"I am requesting a brief extension to ensure quality output.",assertive,2,0
"I will deliver the report once I have the correct figures.",assertive,2,0
"We need to address the communication gap that caused this issue.",assertive,2,0
"I need to flag that I was not included in the initial briefing.",assertive,2,0
"I want this documented so there is a clear record going forward.",assertive,2,0
"Please ensure the team is aligned before assigning me this task.",assertive,2,0
"I am asking for a realistic deadline given the current workload.",assertive,2,0
"Let me be direct: I cannot produce accurate work without accurate input.",assertive,2,0
"I expect regular feedback so I can course-correct early.",assertive,2,0
"I need clarity on who the final decision-maker is for this project.",assertive,2,0
"I want to escalate this concern through the proper channel.",assertive,2,0
"I'm raising this issue so we can resolve it constructively.",assertive,2,0
"I require a clear scope before I commit to this deliverable.",assertive,2,0
"I need to push back on that timeline because the data is still pending.",assertive,2,0
